src,tgt
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~[Rh+2]~[Rh+2]
CC(=O)O[Rh]OC(C)=O,CC(=O)O~CC(=O)O~CC(=O)O~CC(=O)O~[Rh]~[Rh]
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~CC(=O)[O-]~[Rh+3]~[Rh+3]
CC(=O)O[Rh]OC(C)=O,CC(=O)[O-]~[Rh+]
C1=CC2C=CC1C2~C1=CC2C=CC1C2~F[B-](F)(F)F~[Rh+],C1=CC2C=CC1C2~C1=CC2C=CC1C2~F[B-](F)(F)F~[Rh]
C=C~C=C~CC(=O)/C=C(/C)O[Rh],C=C~C=C~CC(=O)/C=C(/C)O~[Rh]
CC(=O)/C=C(/C)O[Rh](=C=O)=C=O,CC(=O)/C=C(/C)O~[C-]#[O+]~[C-]#[O+]~[Rh]
CC(=O)/C=C(/C)O[Rh](=C=O)=C=O,CC(=O)/C=C(\C)O~[C-]#[O+]~[C-]#[O+]~[Rh]
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[Cl-]~[Rh]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
O=C=[RhH-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,[C-]#[O+]~[Rh]~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Rh](Cl)Cl~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1~c1ccc(P(c2ccccc2)c2ccccc2)cc1
CC1(C)Cc2cccc(c2)CC(C)(C)C(=O)O[Rh]OC1=O,CC(C)(Cc1cccc(CC(C)(C)C(=O)[O-])c1)C(=O)[O-]~CC(C)(Cc1cccc(CC(C)(C)C(=O)[O-])c1)C(=O)[O-]~[Rh+2]~[Rh+2]
CC1(C)Cc2cccc(c2)CC(C)(C)C(=O)O[Rh]OC1=O,CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O~CC(C)(Cc1cccc(CC(C)(C)C(=O)O)c1)C(=O)O~[Rh]~[Rh]
CCCCCCCC(=O)O[Rh]OC(=O)CCCCCCC,CCCCCCCC(=O)O~CCCCCCCC(=O)O~CCCCCCCC(=O)O~CCCCCCCC(=O)O~[Rh]~[Rh]
CC(=O)O[Rh]OC(C)=O,CC1O[Rh-3]234([OH2+])#[Rh-3]([OH2+])(OC(C)[O+]2)(OC(C)[O+]3)([O+]1)[O+]C(C)O4
Cl[Rh-3]([P+](c1ccccc1)(c1ccccc1)c1ccccc1)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,Cl[Rh]([P](c1ccccc1)(c1ccccc1)c1ccccc1)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1
CC(C)[P+]1(C(C)C)N2CCN3CCN4CCN5C4C(C32)[Rh-2]1(Cl)[P+]5(C(C)C)C(C)C,CC(C)[P]1(C(C)C)N2CCN3CCN4CCN5C4C(C32)[Rh]1(Cl)[P]5(C(C)C)C(C)C
O=C1CCCCCN1[Rh]N1CCCCCC1=O,O=C1CCCCCN1~O=C1CCCCCN1~O=C1CCCCCN1~O=C1CCCCCN1~[Rh]~[Rh]
Cl[Rh-2]12C3C4N(CCN5CCN(C35)[P+]1(c1ccccc1)c1ccccc1)CCN4[P+]2(c1ccccc1)c1ccccc1,Cl[Rh]12C3C4N(CCN5CCN(C35)[P]1(c1ccccc1)c1ccccc1)CCN4[P]2(c1ccccc1)c1ccccc1
C1=CCCC=CCC1~Cl[Rh],ClC1=CC=CCCCC1~[Rh+]
CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O[Rh]OC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccc(CCCCCCCCCCCC)cc2)cc1,CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~CCCCCCCCCCCCc1ccc(S(=O)(=O)N2CCC[C@H]2C(=O)O)cc1~[Rh]~[Rh]
CC1=C(C)C(C)([Rh](Cl)Cl)C(C)=C1C,C[C]1[C](C)[C](C)[C](C)[C]1C~C[C]1[C](C)[C](C)[C](C)[C]1C~Cl[Rh]Cl~Cl[Rh]Cl
C=C~C=C~Cl[Rh],C=C~C=C~C=C~C=C~[Cl-]~[Cl-]~[Rh]~[Rh]
O=C=[Rh]1(=C=O)[Rh](=C=O)(=C=O)(=C=O)[Rh]1(=C=O)(=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Rh]~[Rh]~[Rh]~[Rh]~[Rh]~[Rh]
Cl[Rh](Cl)Cl,Cl[Rh](Cl)Cl~O~O~O
O=C=[Rh](=C=O)=C=O,[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[C-]#[O+]~[Rh]~[Rh]~[Rh]~[Rh]
[C]~[Rh],C~[Rh]
Cl[Rh](Cl)Cl,Cl[Rh](Cl)Cl~O
CC(C)C[AlH]CC(C)C.Cc1ccccc1,CC(C)C[AlH]CC(C)C~Cc1ccccc1
CC(C)C[AlH]CC(C)C.CCCCCC,CC(C)C[AlH]CC(C)C~CCCCCC
